Timestamp,Device_ID,Temperature,Humidity,Pressure,Vibration,Battery_Level,Location,Machine_Status
2026-04-21 22:30:00,DEV_005,65.89,62.7,1007.96,2.22,46.51,Factory_A,Warning
2026-01-22 06:15:00,DEV_007,70.65,70.95,1021.85,2.73,57.04,Factory_A,Normal
2026-04-01 07:00:00,DEV_005,81.01,60.49,1009.82,2.15,11.65,Factory_A,Normal
2026-01-12 14:30:00,DEV_007,74.17,68.76,1001.42,2.03,17.36,Factory_C,Critical
2026-05-25 19:30:00,DEV_008,74.04,54.32,1014.34,,27.04,Factory_C,Normal
2026-05-05 14:45:00,DEV_003,64.86,54.69,1005.38,2.67,40.27,Factory_A,Normal
2026-04-26 08:00:00,DEV_003,71.25,51.79,1018.44,2.27,40.58,Factory_B,Normal
2026-02-01 06:30:00,DEV_006,60.99,54.17,1024.39,2.11,42.14,Factory_C,Warning
2026-07-25 22:45:00,DEV_005,74.56,55.18,1019.63,2.92,44.47,Factory_A,Normal
2026-03-26 12:45:00,DEV_001,64.75,52.6,1007.22,2.13,83.98,Factory_C,Critical
2026-02-06 17:15:00,DEV_005,65.35,63.33,1011.05,2.21,40.18,Factory_C,Normal
2026-03-24 01:45:00,DEV_007,74.15,52.1,1009.63,1.66,58.54,Factory_C,Warning
2026-06-21 06:15:00,DEV_005,70.72,54.85,999.43,1.45,43.42,Factory_C,Normal
2026-06-19 18:00:00,DEV_007,70.3,68.34,1011.32,1.6,27.6,Factory_A,Normal
2026-05-11 21:30:00,DEV_003,76.89,51.2,1004.59,3.39,91.33,Factory_C,Normal
2026-02-24 17:00:00,DEV_005,78.7,48.71,992.98,3.81,27.74,Factory_A,Normal
2026-07-22 00:15:00,DEV_004,62.01,25.46,1041.24,3.08,76.74,Factory_B,Normal
2026-06-24 23:00:00,DEV_008,78.48,43.58,986.67,1.86,20.95,Factory_B,Normal
2026-03-26 07:30:00,DEV_001,87.99,24.8,1020.36,2.06,32.27,Factory_A,Normal
2026-01-04 08:30:00,DEV_004,66.31,58.93,991.49,2.78,38.44,Factory_B,Normal
2026-04-14 08:45:00,DEV_006,66.2,54.15,1024.42,1.93,49.06,Factory_C,Normal
2026-03-19 16:45:00,DEV_007,60.45,61.76,1011.34,1.38,71.4,Factory_A,Normal
2026-07-18 04:00:00,DEV_007,75.56,46.05,1008.56,2.5,53.94,Factory_C,Normal
2026-07-02 20:15:00,DEV_005,84.24,44.2,1008.92,0.79,79.37,Factory_B,Warning
2026-04-05 23:45:00,DEV_005,69.94,63.27,1000.72,3.01,94.62,Factory_C,Normal
2026-06-21 01:15:00,DEV_007,87.16,55.37,1001.03,2.16,43.13,Factory_B,Warning
2026-06-17 07:00:00,DEV_008,55.36,32.81,993.05,2.53,97.58,Factory_C,Normal
2026-04-16 10:00:00,DEV_007,61.84,52.17,1022.55,2.07,87.89,Factory_C,Normal
2026-07-18 11:45:00,DEV_002,66.02,31.66,1018.45,3.26,73.03,Factory_A,Normal
2026-02-08 00:15:00,DEV_001,74.09,64.73,994.78,3.36,78.93,Factory_C,Normal
2026-02-11 01:15:00,DEV_006,74.78,73.09,1047.32,2.1,53.91,Factory_B,Normal
2026-07-06 06:00:00,DEV_007,63.62,53.14,1000.07,2.15,63.12,Factory_B,Normal
2026-06-23 16:45:00,DEV_001,76.49,55.96,1006.97,3.16,69.87,Factory_A,Normal
2026-05-12 13:30:00,DEV_004,72.43,36.19,1016.77,1.53,14.33,Factory_C,Normal
2026-04-30 04:45:00,DEV_003,76.38,38.84,1019.19,4.19,73.5,Factory_A,Normal
2026-05-07 15:15:00,DEV_006,69.77,35.23,1020.3,2.01,86.44,Factory_B,Normal
2026-05-25 02:45:00,DEV_004,69.78,60.64,981.37,4.28,48.52,Factory_B,Normal
2026-02-05 18:30:00,DEV_008,69.87,62.92,994.34,3.84,84.39,Factory_B,Warning
2026-07-15 04:45:00,DEV_004,68.4,52.52,999.43,1.61,17.29,Factory_C,Normal
2026-07-01 07:45:00,DEV_001,78.37,66.24,1010.17,1.9,55.99,Factory_A,Normal
2026-06-10 20:00:00,DEV_002,69.5,46.64,,3.03,55.36,Factory_C,Normal
